"date","sst_ant"
2011-01-01,-1.03485822633382
2011-02-01,-0.990815761495939
2011-03-01,-1.2885765067364
2011-04-01,-1.56205294385079
2011-05-01,-1.67077841784207
2011-06-01,-1.70884661122768
2011-07-01,-1.73272193669889
2011-08-01,-1.73970124319431
2011-09-01,-1.73844109625919
2011-10-01,-1.7004885033737
2011-11-01,-1.58770969846182
2011-12-01,-1.39384273873452
2012-01-01,-1.24613286858837
2012-02-01,-1.11853822578442
2012-03-01,-1.32669602786871
2012-04-01,-1.56530371171573
2012-05-01,-1.64194886810924
2012-06-01,-1.69082380710095
2012-07-01,-1.69525462023346
2012-08-01,-1.69747512145636
2012-09-01,-1.69172798069413
2012-10-01,-1.66545726466417
2012-11-01,-1.57404286004087
2012-12-01,-1.30519126661541
2013-01-01,-1.03678401480719
2013-02-01,-0.951033313449129
2013-03-01,-1.20300000481491
2013-04-01,-1.47561503013195
2013-05-01,-1.6121714866871
2013-06-01,-1.67237488565469
2013-07-01,-1.69846827900981
2013-08-01,-1.69646869443566
2013-09-01,-1.68769420618254
2013-10-01,-1.67195320813112
2013-11-01,-1.58952077043605
2013-12-01,-1.37375484199681
2014-01-01,-1.12664065222239
2014-02-01,-1.01052492064082
2014-03-01,-1.30346743730902
2014-04-01,-1.55161871868744
2014-05-01,-1.64376239918189
2014-06-01,-1.69243369822261
2014-07-01,-1.70276637829344
2014-08-01,-1.69923549608514
2014-09-01,-1.6772938416094
2014-10-01,-1.66974728284712
2014-11-01,-1.5729988298857
2014-12-01,-1.37583962563709
2015-01-01,-1.12152828388493
2015-02-01,-1.04157296810707
2015-03-01,-1.24546216478134
2015-04-01,-1.52784187228568
2015-05-01,-1.64101534555293
2015-06-01,-1.68553330105219
2015-07-01,-1.70841134189217
2015-08-01,-1.70306150844176
2015-09-01,-1.69443704487236
2015-10-01,-1.65805740507615
2015-11-01,-1.57011499641446
2015-12-01,-1.34077437040064
2016-01-01,-1.30724562925466
2016-02-01,-1.2251066388265
2016-03-01,-1.40988754862571
2016-04-01,-1.61074269683567
2016-05-01,-1.65313347815933
2016-06-01,-1.67728927176617
2016-07-01,-1.7372461622422
2016-08-01,-1.73838303225732
2016-09-01,-1.74121950955724
2016-10-01,-1.71465719231156
2016-11-01,-1.6222038258674
2016-12-01,-1.48929298651518
2017-01-01,-0.86684963154604
2017-02-01,-0.614571873711471
2017-03-01,-1.20230193429385
2017-04-01,-1.44574548743307
2017-05-01,-1.59502582880518
2017-06-01,-1.67586199467181
2017-07-01,-1.71973392616947
2017-08-01,-1.7286034284545
2017-09-01,-1.72922167645262
2017-10-01,-1.7150860027366
2017-11-01,-1.65517466592326
2017-12-01,-1.51854495829555
2018-01-01,-1.25968621590267
2018-02-01,-1.10622260476845
2018-03-01,-1.31815172021587
2018-04-01,-1.52938788417026
2018-05-01,-1.65057921887011
2018-06-01,-1.7091052084979
2018-07-01,-1.75419801563399
2018-08-01,-1.7623233281956
2018-09-01,-1.75983171444596
2018-10-01,-1.74968101399713
2018-11-01,-1.69461521727405
2018-12-01,-1.54634929117789
2019-01-01,-1.38928146731861
2019-02-01,-1.27823982062024
2019-03-01,-1.40295626958783
2019-04-01,-1.60538247764187
2019-05-01,-1.70222031910297
2019-06-01,-1.74427134716361
2019-07-01,-1.75863702400804
2019-08-01,-1.76105834115614
2019-09-01,-1.75855483546839
2019-10-01,-1.75308326048831
2019-11-01,-1.70666619958047
2019-12-01,-1.59860480049434
2020-01-01,-1.4150220105423
2020-02-01,-1.25998014940464
2020-03-01,-1.40426085819581
2020-04-01,-1.59581616570523
2020-05-01,-1.69979117467153
2020-06-01,-1.73094262722646
2020-07-01,-1.746876150855
2020-08-01,-1.75872201325619
2020-09-01,-1.76442087932073
2020-10-01,-1.75761818025593
2020-11-01,-1.70046894532674
2020-12-01,-1.54335192104068
2021-01-01,-1.36465891926605
2021-02-01,-1.285236073994
2021-03-01,-1.46234985572306
2021-04-01,-1.63179170358803
2021-05-01,-1.69239727534817
2021-06-01,-1.73995444905654
2021-07-01,-1.74894292897491
2021-08-01,-1.76008137798708
2021-09-01,-1.75759476587095
2021-10-01,-1.73497140022731
2021-11-01,-1.66568890103393
2021-12-01,-1.46518881381538
2022-01-01,-1.11008708439826
2022-02-01,-1.0007930939047
2022-03-01,-1.27086187578809
2022-04-01,-1.55407332726589
2022-05-01,-1.66139905237396
2022-06-01,-1.70493172814812
2022-07-01,-1.73672161865434
2022-08-01,-1.73771577416258
2022-09-01,-1.73757388953193
2022-10-01,-1.71906085545164
2022-11-01,-1.65586105084872
2022-12-01,-1.39369175731735
2023-01-01,-1.00240808915346
2023-02-01,-0.914015497181614
2023-03-01,-1.19037886786961
2023-04-01,-1.48351420387668
2023-05-01,-1.63458760656874
2023-06-01,-1.69412226520448
2023-07-01,-1.71554585687286
2023-08-01,-1.75167887454483
2023-09-01,-1.75593445197462
